--------------------------------------------------------------------------------
		Tihs is a cureent running process log file 
		This log file is created at : Sat Jun 21 16:19:05 2025
--------------------------------------------------------------------------------
{'name': 'kernel_task', 'pid': 0, 'username': 'root'} 
{'name': 'inputanalyticsd', 'pid': 5803, 'username': 'manthansasane'} 

{'name': 'axassetsd', 'pid': 5813, 'username': 'manthansasane'} 

{'name': 'com.apple.audio.ComponentTagHelper', 'pid': 5814, 'username': 'manthansasane'} 

{'name': 'MacinTalkAUSP', 'pid': 5815, 'username': 'manthansasane'} 

{'name': 'KonaSynthesizer', 'pid': 5816, 'username': 'manthansasane'} 

{'name': 'WardaSynthesizer_arm64', 'pid': 5817, 'username': 'manthansasane'} 

{'name': 'MauiAUSP', 'pid': 5818, 'username': 'manthansasane'} 

{'name': 'com.apple.audio.SandboxHelper', 'pid': 5819, 'username': 'manthansasane'} 

{'name': 'com.apple.audio.SandboxHelper', 'pid': 5820, 'username': 'manthansasane'} 

{'name': 'SiriAUSP', 'pid': 5821, 'username': 'manthansasane'} 

{'name': 'com.apple.audio.SandboxHelper', 'pid': 5822, 'username': 'manthansasane'} 

{'name': 'WardaSynthesizer_x86_64', 'pid': 5823, 'username': 'manthansasane'} 

{'name': 'com.apple.audio.SandboxHelper', 'pid': 5824, 'username': 'manthansasane'} 

{'name': 'AUCrashHandlerService', 'pid': 5825, 'username': 'manthansasane'} 

{'name': 'com.apple.audio.SandboxHelper', 'pid': 5826, 'username': 'manthansasane'} 

{'name': 'com.apple.SiriTTSService.TrialProxy', 'pid': 5827, 'username': 'manthansasane'} 

{'name': 'voicebankingd', 'pid': 5828, 'username': 'manthansasane'} 

{'name': 'com.apple.SiriTTSService.TrialProxy', 'pid': 5829, 'username': 'manthansasane'} 

{'name': 'com.apple.SiriTTSService.TrialProxy', 'pid': 5830, 'username': 'manthansasane'} 

{'name': 'syncdefaultsd', 'pid': 5831, 'username': 'manthansasane'} 

{'name': 'com.apple.audio.SandboxHelper', 'pid': 5832, 'username': 'manthansasane'} 

{'name': 'SAExtensionOrchestrator', 'pid': 5834, 'username': 'manthansasane'} 

{'name': 'extensionkitservice', 'pid': 5835, 'username': 'manthansasane'} 

{'name': 'IFTelemetrySELFIngestor', 'pid': 5836, 'username': 'manthansasane'} 

{'name': 'GMSSELFIngestor', 'pid': 5837, 'username': 'manthansasane'} 

{'name': 'IFTranscriptSELFIngestor', 'pid': 5838, 'username': 'manthansasane'} 

{'name': 'BiomeSELFIngestor', 'pid': 5839, 'username': 'manthansasane'} 

{'name': 'AppleCredentialM', 'pid': 5847, 'username': 'root'} 

{'name': 'powerexperienced', 'pid': 5848, 'username': 'root'} 

{'name': 'spotlightknowledged', 'pid': 5849, 'username': 'manthansasane'} 

{'name': 'coreduetd', 'pid': 5850, 'username': 'root'} 

{'name': 'mediaanalysisd', 'pid': 5851, 'username': 'manthansasane'} 

{'name': 'AppPredictionIntentsHelperService', 'pid': 5852, 'username': 'manthansasane'} 

{'name': 'AppSSOAgent', 'pid': 5853, 'username': 'manthansasane'} 

{'name': 'GSSCred', 'pid': 5854, 'username': 'root'} 

{'name': 'AppSSODaemon', 'pid': 5855, 'username': 'root'} 

{'name': 'com.apple.hiserv', 'pid': 5856, 'username': 'root'} 

{'name': 'calaccessd', 'pid': 5857, 'username': 'manthansasane'} 

{'name': 'CoreLocationAgent', 'pid': 5858, 'username': 'manthansasane'} 

{'name': 'PerfPowerTelemet', 'pid': 5861, 'username': 'root'} 

{'name': 'countryd', 'pid': 5862, 'username': 'root'} 

{'name': 'networkserviceproxy', 'pid': 5863, 'username': 'manthansasane'} 

{'name': 'IMDPersistenceAgent', 'pid': 5864, 'username': 'manthansasane'} 

{'name': 'csnameddatad', 'pid': 5865, 'username': 'root'} 

{'name': 'swtransparencyd', 'pid': 5867, 'username': 'manthansasane'} 

{'name': 'CloudTelemetryService', 'pid': 5868, 'username': 'manthansasane'} 

{'name': 'netbiosd', 'pid': 5869, 'username': '_netbios'} 

{'name': 'amsaccountsd', 'pid': 5872, 'username': 'manthansasane'} 

{'name': 'localizationswitcherd', 'pid': 5873, 'username': 'manthansasane'} 

{'name': 'amsengagementd', 'pid': 5874, 'username': 'manthansasane'} 

{'name': 'mlhostd', 'pid': 5879, 'username': 'manthansasane'} 

{'name': 'Google Chrome Helper (Renderer)', 'pid': 5881, 'username': 'manthansasane'} 

{'name': 'SetStoreUpdateService', 'pid': 5886, 'username': 'manthansasane'} 

{'name': 'linkd', 'pid': 5893, 'username': 'manthansasane'} 

{'name': 'Google Chrome Helper (Renderer)', 'pid': 5928, 'username': 'manthansasane'} 

{'name': 'Google Chrome Helper (Renderer)', 'pid': 5929, 'username': 'manthansasane'} 

{'name': 'mdworker_shared', 'pid': 5937, 'username': 'manthansasane'} 

{'name': 'mdworker_shared', 'pid': 5938, 'username': 'manthansasane'} 

{'name': 'Python', 'pid': 5939, 'username': 'manthansasane'} 

--------------------------------------------------------------------------------
